Agrupacions censals (a 01-01-2024)
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=81
Nivell;Codi;Nom;Tipus AC;Codi comarca;
Secció censal;01001; ;;;
Municipi;172214;Vilafant;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Municipi;172288;Vilanant;;;
Secció censal;01001; ;;;
Agrupació censal;810022003;Alt Empordà Centre (Peralada);31;02;
Municipi;170307;Cabanes;;;
Secció censal;01001; ;;;
Municipi;170643;Espolla;;;
Secció censal;01001; ;;;
Municipi;170059;Far d'Empordà, el;;;
Secció censal;01001; ;;;
Municipi;170741;Fortià;;;
Secció censal;01001; ;;;
Municipi;170773;Garriguella;;;
Secció censal;01001; ;;;
Municipi;171061;Mollet de Peralada;;;
Secció censal;01001; ;;;
Municipi;171292;Pedret i Marzà;;;
Secció censal;01001; ;;;
Municipi;171328;Peralada;;;
Secció censal;01001; ;;;
Municipi;171432;Rabós;;;
Secció censal;01001; ;;;
Municipi;171518;Riumors;;;
Secció censal;01001; ;;;
Municipi;170524;Siurana;;;
Secció censal;01001; ;;;
Municipi;172305;Vila-sacra;;;
Secció censal;01001; ;;;
Municipi;172142;Vilabertran;;;
Secció censal;01001; ;;;
Municipi;172235;Vilajuïga;;;
Secció censal;01001; ;;;
Municipi;172266;Vilamalla;;;
Secció censal;01001; ;;;
Municipi;172272;Vilamaniscle;;;
Secció censal;01001; ;;;
Agrupació censal;810022004;Alt Empordà Nord-est (Llançà - Cadaqués);31;02;
Municipi;170329;Cadaqués;;;
Secció censal;01001; ;;;
Municipi;170545;Colera;;;
Secció censal;01001; ;;;
Municipi;170926;Llançà;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Municipi;171208;Palau-saverdera;;;
Secció censal;01001; ;;;
Municipi;171289;Pau;;;
Secció censal;01001; ;;;
Municipi;171404;Port de la Selva, el;;;
Secció censal;01001; ;;;
Municipi;171387;Portbou;;;
Secció censal;01001; ;;;
Municipi;171886;Selva de Mar, la;;;
Secció censal;01001; ;;;
Agrupació censal;810022005;Alt Empordà Sud (Bàscara - Sant Pere Pescador);31;02;
Municipi;170118;Armentera, l';;;
Secció censal;01001; ;;;
Municipi;170160;Bàscara;;;
Secció censal;01001; ;;;
Municipi;170754;Garrigàs;;;
Secció censal;01001; ;;;
Municipi;171194;Palau de Santa Eulàlia;;;
Secció censal;01001; ;;;
Municipi;171365;Pontós;;;
Secció censal;01001; ;;;
Municipi;171753;Sant Miquel de Fluvià;;;
Secció censal;01001; ;;;
Municipi;171766;Sant Mori;;;
Secció censal;01001; ;;;
Municipi;171788;Sant Pere Pescador;;;
Secció censal;01001; ;;;
Municipi;171870;Saus, Camallera i Llampaies;;;
Secció censal;01001; ;;;
Municipi;171984;Torroella de Fluvià;;;
Secció censal;01001; ;;;
Municipi;172109;Ventalló;;;
Secció censal;01001; ;;;
Municipi;172174;Viladamat;;;
Secció censal;01001; ;;;
Municipi;172253;Vilamacolum;;;
Secció censal;01001; ;;;
Municipi;172229;Vilaür;;;
Secció censal;01001; ;;;
Agrupació censal;082401001;Sant Sadurní d'Anoia 1 (Districte Censal 1);10;03;
Municipi;082401;Sant Sadurní d'Anoia;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Agrupació censal;082401002;Sant Sadurní d'Anoia 2 (Districte Censal 2);10;03;
Municipi;082401;Sant Sadurní d'Anoia;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02003; ;;;
Secció censal;02004; ;;;
Agrupació censal;083054001;Vilafranca del Penedès 1 (Sant Julià - Barceloneta - Centre Vila - el Bordellet);10;03;
Municipi;083054;Vilafranca del Penedès;;;
Secció censal;02002; ;;;
Secció censal;02005; ;;;
Secció censal;03001; ;;;
Secció censal;03002; ;;;
Secció censal;03003; ;;;
Secció censal;03004; ;;;
Agrupació censal;083054002;Vilafranca del Penedès 2 (Poble Nou);10;03;
Municipi;083054;Vilafranca del Penedès;;;
Secció censal;04001; ;;;
Secció censal;04002; ;;;
Secció censal;04003; ;;;
Secció censal;04004; ;;;
Secció censal;04006; ;;;
Agrupació censal;083054003;Vilafranca del Penedès 3 (l'Espirall - Centre Vila);10;03;
Municipi;083054;Vilafranca del Penedès;;;
Secció censal;02001; ;;;
Secció censal;02003; ;;;
Secció censal;02004; ;;;
Secció censal;02006; ;;;
Agrupació censal;083054004;Vilafranca del Penedès 4 (les Clotes - Centre Vila - Sant Pau);10;03;
Municipi;083054;Vilafranca del Penedès;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Agrupació censal;083054005;Vilafranca del Penedès 5 (la Girada - Molí d'en Rovira - Poble Nou Sud-oest - Cal Salines - Pere Pau);10;03;
Municipi;083054;Vilafranca del Penedès;;;
Secció censal;04005; ;;;
Secció censal;04007; ;;;
Secció censal;04008; ;;;
Secció censal;04009; ;;;
Agrupació censal;810038001;Alt Penedès Nord-est (Gelida);31;03;
Municipi;080919;Gelida;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;02001; ;;;
Municipi;082227;Sant Llorenç d'Hortons;;;
Secció censal;01001; ;;;
Agrupació censal;810038002;Alt Penedès Est (Olèrdola - Subirats);31;03;
Municipi;080137;Avinyonet del Penedès;;;
Secció censal;01001; ;;;
Municipi;080272;Cabanyes, les;;;
Secció censal;01001; ;;;
Municipi;080945;Granada, la;;;
Secció censal;01001; ;;;
Municipi;081458;Olèrdola;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;081461;Olesa de Bonesvalls;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;081542;Pacs del Penedès;;;
Secció censal;01001; ;;;
Municipi;082068;Sant Cugat Sesgarrigues;;;
Secció censal;01001; ;;;
Municipi;082495;Santa Fe del Penedès;;;
Secció censal;01001; ;;;
Municipi;082732;Subirats;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Agrupació censal;810038003;Alt Penedès Nord (Sant Pere de Riudebitlles - Mediona);31;03;
Municipi;081228;Mediona;;;
Secció censal;01001; ;;;
Municipi;082325;Sant Pere de Riudebitlles;;;
Secció censal;01001; ;;;
Municipi;082362;Sant Quintí de Mediona;;;
Secció censal;01001; ;;;
Municipi;082877;Torrelavit;;;
Secció censal;01001; ;;;
Agrupació censal;810038004;Alt Penedès Oest (Sant Martí Sarroca);31;03;
Municipi;080654;Castellví de la Marca;;;
Secció censal;01001; ;;;
Municipi;080850;Font-rubí;;;
Secció censal;01001; ;;;
Municipi;081640;Pla del Penedès, el;;;
Secció censal;01001; ;;;
Municipi;081688;Pontons;;;
Secció censal;01001; ;;;
Municipi;081748;Puigdàlber;;;
Secció censal;01001; ;;;
Municipi;082270;Sant Martí Sarroca;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;082883;Torrelles de Foix;;;
Secció censal;01001; ;;;
Municipi;083041;Vilobí del Penedès;;;
Secció censal;01001; ;;;
Agrupació censal;810038005;Alt Penedès Sud (Santa Margarida i els Monjos);31;03;
Municipi;080581;Castellet i la Gornal;;;
Secció censal;01001; ;;;
Municipi;082515;Santa Margarida i els Monjos;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Agrupació censal;252038001;Seu d'Urgell 1 (Sud-est), la;10;04;
Municipi;252038;Seu d'Urgell, la;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Agrupació censal;252038002;Seu d'Urgell 2 (Nord-oest), la;10;04;
Municipi;252038;Seu d'Urgell, la;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01007; ;;;
Agrupació censal;810043001;Alt Urgell (sense la Seu d'Urgell);32;04;
Municipi;250058;Alàs i Cerc;;;
Secció censal;01001; ;;;
Municipi;250328;Arsèguel;;;
Secció censal;01001; ;;;
Municipi;250447;Bassella;;;
Secció censal;01001; ;;;
Municipi;250616;Cabó;;;
Secció censal;01001; ;;;
Municipi;250714;Cava;;;
Secció censal;01001; ;;;
Municipi;250772;Coll de Nargó;;;
Secció censal;01001; ;;;
Municipi;250886;Estamariu;;;
Secció censal;01001; ;;;
Municipi;259084;Fígols i Alinyà;;;
Secció censal;01001; ;;;
Municipi;259101;Josa i Tuixén;;;
Secció censal;01001; ;;;
Municipi;251403;Montferrer i Castellbò;;;
Secció censal;01001; ;;;
Municipi;251497;Oliana;;;
Secció censal;01001; ;;;
Municipi;251556;Organyà;;;
Secció censal;01001; ;;;
Municipi;251654;Peramola;;;
Secció censal;01001; ;;;
Municipi;250306;Pont de Bar, el;;;
Secció censal;01001; ;;;
Municipi;251850;Ribera d'Urgellet;;;
Secció censal;01001; ;;;
Municipi;259062;Valls d'Aguilar, les;;;
Secció censal;01001; ;;;
Municipi;252398;Valls de Valira, les;;;
Secció censal;01001; ;;;
Municipi;259097;Vansa i Fórnols, la;;;
Secció censal;01001; ;;;
Agrupació censal;810056000;Alta Ribagorça;33;05;
Municipi;251734;Pont de Suert, el;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;250432;Vall de Boí, la;;;
Secció censal;01001; ;;;
Municipi;252458;Vilaller;;;
Secció censal;01001; ;;;
Agrupació censal;081022001;Igualada 1 (Centre-sud);10;06;
Municipi;081022;Igualada;;;
Secció censal;01001; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;03001; ;;;
Secció censal;04002; ;;;
Secció censal;04003; ;;;
Secció censal;05003; ;;;
Agrupació censal;081022002;Igualada 2 (Centre-oest i Oest);10;06;
Municipi;081022;Igualada;;;
Secció censal;02003; ;;;
Secció censal;03002; ;;;
Secció censal;03003; ;;;
Secció censal;03004; ;;;
Secció censal;03005; ;;;
Secció censal;04004; ;;;
Secció censal;04005; ;;;
Agrupació censal;081022003;Igualada 3 (Sud-est);10;06;
Municipi;081022;Igualada;;;
Secció censal;04001; ;;;
Secció censal;05001; ;;;
Secció censal;05002; ;;;
Secció censal;05004; ;;;
Secció censal;05005; ;;;
Secció censal;05007; ;;;
Agrupació censal;081022004;Igualada 4 (Centre-nord i Nord-est);10;06;
Municipi;081022;Igualada;;;
Secció censal;03006; ;;;
Secció censal;03007; ;;;
Secció censal;03008; ;;;
Secció censal;03009; ;;;
Secció censal;03010; ;;;
Agrupació censal;081614001;Piera 1 (Exterior i Urbanitzacions);10;06;
Municipi;081614;Piera;;;
Secció censal;01001; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Secció censal;01007; ;;;
Secció censal;01008; ;;;
Secció censal;01009; ;;;
Agrupació censal;081614002;Piera 2 (Nucli Urbà);10;06;
Municipi;081614;Piera;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Agrupació censal;082508000;Santa Margarida de Montbui;20;06;
Municipi;082508;Santa Margarida de Montbui;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Secció censal;01007; ;;;
Agrupació censal;083020001;Vilanova del Camí 1 (Sud-oest);10;06;
Municipi;083020;Vilanova del Camí;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Agrupació censal;083020002;Vilanova del Camí 2 (Nord-est);10;06;
Municipi;083020;Vilanova del Camí;;;
Secció censal;01003; ;;;
Secció censal;01006; ;;;
Secció censal;01007; ;;;
Agrupació censal;810069001;Anoia Nord i Oest (Calaf - Òdena);31;06;
Municipi;080082;Argençola;;;
Secció censal;01001; ;;;
Municipi;080214;Bellprat;;;
Secció censal;01001; ;;;
Municipi;080312;Calaf;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;080364;Calonge de Segarra;;;
Secció censal;01001; ;;;
Municipi;080608;Castellfollit de Riubregós;;;
Secció censal;01001; ;;;
Municipi;080713;Copons;;;
Secció censal;01001; ;;;
Municipi;081038;Jorba;;;
Secció censal;01001; ;;;
Municipi;081332;Montmaneu;;;
Secció censal;01001; ;;;
Municipi;081430;Òdena;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;081705;Prats de Rei, els;;;
Secció censal;01001; ;;;
Municipi;081764;Pujalt;;;
Secció censal;01001; ;;;
Municipi;081859;Rubió;;;
Secció censal;01001; ;;;
Municipi;082264;Sant Martí de Tous;;;
Secció censal;01001; ;;;
Municipi;082286;Sant Martí Sesgueioles;;;
Secció censal;01001; ;;;
Municipi;081897;Sant Pere Sallavinera;;;
Secció censal;01001; ;;;
Municipi;082573;Santa Maria de Miralles;;;
Secció censal;01001; ;;;
Municipi;082975;Veciana;;;
Secció censal;01001; ;;;
Agrupació censal;810069002;Anoia Est (Masquefa);31;06;
Municipi;080253;Bruc, el;;;
Secció censal;01001; ;;;
Municipi;080636;Castellolí;;;
Secció censal;01001; ;;;
Municipi;081629;Hostalets de Pierola, els;;;
Secció censal;01001; ;;;
Municipi;081192;Masquefa;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Agrupació censal;810069003;Anoia Centre (Capellades);31;06;
Municipi;080288;Cabrera d'Anoia;;;
Secció censal;01001; ;;;
Municipi;080446;Capellades;;;
Secció censal;01001; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Municipi;080484;Carme;;;
Secció censal;01001; ;;;
Municipi;081043;Llacuna, la;;;
Secció censal;01001; ;;;
Municipi;081521;Orpí;;;
Secció censal;01001; ;;;
Municipi;081653;Pobla de Claramunt, la;;;
Secció censal;01001; ;;;
Municipi;082861;Torre de Claramunt, la;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;082922;Vallbona d'Anoia;;;
Secció censal;01001; ;;;
Agrupació censal;081136001;Manresa 1 (Antic i Districte Censal 6);10;07;
Municipi;081136;Manresa;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;03001; ;;;
Secció censal;03002; ;;;
Secció censal;06001; ;;;
Secció censal;06002; ;;;
Agrupació censal;081136002;Manresa 2 (el Passeig i Rodalies);10;07;
Municipi;081136;Manresa;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;04003; ;;;
Secció censal;04004; ;;;
Agrupació censal;081136003;Manresa 3 (Can Saldes i Plaça de Catalunya);10;07;
Municipi;081136;Manresa;;;
Secció censal;02003; ;;;
Secció censal;02009; ;;;
Secció censal;02010; ;;;
Secció censal;02013; ;;;
Agrupació censal;081136004;Manresa 4 (Valldaura);10;07;
Municipi;081136;Manresa;;;
Secció censal;02014; ;;;
Secció censal;03004; ;;;
Secció censal;03005; ;;;
Secció censal;03006; ;;;
Agrupació censal;081136005;Manresa 5 (el Poble Nou - Mion, Puigberenguer i Miralpeix);10;07;
Municipi;081136;Manresa;;;
Secció censal;02004; ;;;
Secció censal;02005; ;;;
Secció censal;02006; ;;;
Secció censal;02007; ;;;
Secció censal;02008; ;;;
Secció censal;02011; ;;;
Secció censal;02012; ;;;
Agrupació censal;081136006;Manresa 6 (Carretera de Santpedor);10;07;
Municipi;081136;Manresa;;;
Secció censal;04005; ;;;
Secció censal;04007; ;;;
Secció censal;04008; ;;;
Secció censal;04009; ;;;
Secció censal;04013; ;;;
Secció censal;04014; ;;;
Secció censal;04015; ;;;
Agrupació censal;081136007;Manresa 7 (Vic i el Remei - el Guix - la Pujada Roja);10;07;
Municipi;081136;Manresa;;;
Secció censal;04001; ;;;
Secció censal;04006; ;;;
Secció censal;04011; ;;;
Secció censal;04012; ;;;
Secció censal;05001; ;;;
Agrupació censal;081136008;Manresa 8 (la Sagrada Família - la Font dels Capellans - Viladordis);10;07;
Municipi;081136;Manresa;;;
Secció censal;05004; ;;;
Secció censal;05006; ;;;
Secció censal;05008; ;;;
Secció censal;05010; ;;;
Secció censal;05011; ;;;
Secció censal;05012; ;;;
Secció censal;05013; ;;;
Secció censal;05014; ;;;
Agrupació censal;081136009;Manresa 9 (les Escodines - la Balconada - Cal Gravat - Sant Pau);10;07;
Municipi;081136;Manresa;;;
Secció censal;05002; ;;;
Secció censal;05003; ;;;
Secció censal;05005; ;;;
Secció censal;05007; ;;;
Secció censal;05015; ;;;
Secció censal;05017; ;;;
Secció censal;05018; ;;;
Agrupació censal;082188000;Sant Joan de Vilatorrada;20;07;
Municipi;082188;Sant Joan de Vilatorrada;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Agrupació censal;810075001;Bages Nord (Navàs);31;07;
Municipi;080180;Balsareny;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;080902;Gaià;;;
Secció censal;01001; ;;;
Municipi;081419;Navàs;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;02001; ;;;
Agrupació censal;810075002;Bages Nord-est (Sallent - Artés);31;07;
Municipi;080109;Artés;;;
Secció censal;01001; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02003; ;;;
Municipi;080121;Avinyó;;;
Secció censal;01001; ;;;
Municipi;081918;Sallent;;;
Secció censal;01001; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Municipi;082129;Sant Feliu Sasserra;;;
Secció censal;01001; ;;;
Agrupació censal;810075003;Bages Centre-est (Sant Fruitós de Bages);31;07;
Municipi;081398;Mura;;;
Secció censal;01001; ;;;
Municipi;081402;Navarcles;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Municipi;082135;Sant Fruitós de Bages;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Municipi;082779;Talamanca;;;
Secció censal;01001; ;;;
Agrupació censal;810075004;Bages Sud-est (Sant Vicenç de Castellet);31;07;
Municipi;081825;Pont de Vilomara i Rocafort, el;;;
Secció censal;01001; ;;;
Municipi;082628;Sant Vicenç de Castellet;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Agrupació censal;810075005;Bages Sud i Sud-oest (Castellbell i el Vilar - Sant Salvador de Guardiola);31;07;
Municipi;080538;Castellbell i el Vilar;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;080594;Castellfollit del Boix;;;
Secció censal;01001; ;;;
Municipi;080615;Castellgalí;;;
Secció censal;01001; ;;;
Municipi;082423;Marganell;;;
Secció censal;01001; ;;;
Municipi;081271;Monistrol de Montserrat;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;080983;Sant Salvador de Guardiola;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Agrupació censal;810075006;Bages Nord-oest i Oest (Súria - Cardona);31;07;
Municipi;080023;Aguilar de Segarra;;;
Secció censal;01001; ;;;
Municipi;080386;Callús;;;
Secció censal;01001; ;;;
Municipi;080478;Cardona;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;02001; ;;;
Municipi;080847;Fonollosa;;;
Secció censal;01001; ;;;
Municipi;081786;Rajadell;;;
Secció censal;01001; ;;;
Municipi;082299;Sant Mateu de Bages;;;
Secció censal;01001; ;;;
Municipi;082747;Súria;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Agrupació censal;810075007;Bages Centre (Santpedor);31;07;
Municipi;080620;Castellnou de Bages;;;
Secció censal;01001; ;;;
Municipi;081923;Santpedor;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Agrupació censal;430385001;Cambrils 1 (Centre);10;08;
Municipi;430385;Cambrils;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01006; ;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02004; ;;;
Secció censal;02008; ;;;
Agrupació censal;430385002;Cambrils 2 (Est);10;08;
Municipi;430385;Cambrils;;;
Secció censal;02003; ;;;
Secció censal;02006; ;;;
Secció censal;02007; ;;;
Secció censal;02009; ;;;
Agrupació censal;430385003;Cambrils 3 (Oest);10;08;
Municipi;430385;Cambrils;;;
Secció censal;01005; ;;;
Secció censal;02005; ;;;
Secció censal;02010; ;;;
Agrupació censal;430923000;Mont-roig del Camp;20;08;
Municipi;430923;Mont-roig del Camp;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Secció censal;01007; ;;;
Secció censal;01008; ;;;
Agrupació censal;431233001;Reus 1 (Casc Antic - Centre);10;08;
Municipi;431233;Reus;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
